ID,Contributor,Language_ID,Language_Name,BibTexKey,Filename,MetadataComments,PhoibleID,Dialect
238,Eitan Grossman,jeme1245,Towa,yumitani1998jemeztowa,,,,
239,Elad Eisen,tsha1245,Tshangla,andvik2010tshangla,,,,
241,Steven Moran,tuni1252,Tunica,Haas1941,tun_SPA1979_phon.pdf,,80,
242,Dmitry Nikolaev,turk1303,Turkic Khalaj,doerfer1988khalaj,,,,
243,Elad Eisen,nucl1301,Turkish,kornfilt1997turkish,,,,
244,KurdistanDB,turk1304,Turkmen,hoey2013turkmen,,,,
245,KurdistanDB,turo1239,Turoyo,jastrow2011turoyomlahso,,,,
246,Eitan Grossman,tzut1248,Tz'utujil,tzutujil1981dayley,,,,
247,Steven Moran,tzel1254,Tzeltal,Kaufman1971,tzh_SPA1979_phon.pdf,,86,
248,Dmitry Nikolaev,udmu1245,Udmurt,perevoschikov1962udmurt,,,,
249,NA,ughe1237,Ughele,frostad2013ughele,,,,
250,NA,uigh1240,Uighur,"hahn1998uyghur, hahn2006uyghur",,,,
251,Chingduang Yurayong,ukra1253,Ukrainian,shevelov1993ukrainian,,,,
252,KurdistanDB,hert1241,Umraya,hobrack2000umraya,,,,umra1238
253,NA,urar1246,Urarina,olawsky2006urarina,olawsky2006urarina.pdf,,,
254,Dmitry Nikolaev,nort2690,Uzbek,boeschoten1998uzbek,,,,
255,KurdistanDB,vafs1240,Vafsi,stilo2004vafsi,,,,
256,Steven Moran,waim1255,Waimaha,StolteStolte1971,mlt_SPA1979_phon.pdf,,114,
257,Einav Levanon,wano1243,Wano,burung2007wano,,,,
258,Einav Levanon,want1252,Wantoat,dangepnana2012wantoat,,,,
259,Einav Levanon,wara1302,Warapu,corris2005warapu,,,,
260,Elad Eisen,wels1247,Welsh,awbery2012welsh,,,,
261,Einav Levanon,west2548,West Damar,chlenova2008westdamar,,,,
262,Daria Zhornik,west2392,Western Mari,alhoniemi1993mari,,,,
263,Einav Levanon,moro1287,Wita Ea,andersen1999witaea,,,,
264,Heini Arjava,wutu1241,Wutunhua,sandman2016wutun,,,,
265,Eitan Grossman,yane1238,Yanesha',adelaar2007yanesha,adelaar2007yanesha.pdf,,,
266,Einav Levanon,yima1243,Yimas,foley1991yimas,,,,
267,KurdistanDB,gura1251,Zarda Gorani,mahmoudveysi2013zardagorani,,,,
268,Steven Moran,chuv1255,Chuvash,"Kruger1961,Andreev1966",chv_SPA1979_phon.pdf,,189,
269,Steven Moran,ewee1241,Ewe,"Stahlke1970,Berry1951,Ansre1961,Ladefoged1964",ewe_SPA1979_phon.pdf,,142,
270,Steven Moran,finn1318,Finnish,"Lehtinen1964,Harms1964,Austerlitz1967,Hammarberg1974,Kiparsky1968,Harms1966",fin_SPA1979_phon.pdf,,180,
271,Steven Moran,nucl1643,Japanese,"Bloch1950,Martin1952,Jorden1963",jpn_SPA1979_phon.pdf,,197,
272,Steven Moran,halh1238,Halh Mongolian,"Hangin1968,Luvsanvandan1964,Street1963",khk_SPA1979_phon.pdf,,191,
273,Steven Moran,hind1269,Hindi,"Kelkar1968,VermeerSharma1966,Pinnow1953,Srivastava1969",hin_SPA1979_phon.pdf,,176,
274,Steven Moran,komi1268,Komi-Zyrian,"Lytkin1966,Bubrich1949",kpv_SPA1979_phon.pdf,,182,
275,Steven Moran,lith1251,Lithuanian,"Senn1966,Augustitis1964,Ambrazas_etal1966",lit_SPA1979_phon.pdf,,168,
276,Steven Moran,aleu1260,Aleut,"Bergsland1956,Bergsland1959,Menovshchikov1968,Jakobson1944",ale_SPA1979_phon.pdf,,61,
277,Rammie Cahlon,mapu1245,Mapudungun,smeets2008mapudungun,,,,
278,Steven Moran,mapu1245,Mapudungun,EcheverriaContreras1965,arn_SPA1979_phon.pdf,,106,
279,Steven Moran,sanm1295,San Miguel El Grande Mixtec,HunterPike1969,mig_SPA1979_phon.pdf,,100,
281,Steven Moran,hebr1245,Modern Hebrew,"Chayen1973,CohenZafrani1968",heb_SPA1979_phon.pdf,,135,
283,Steven Moran,taga1270,Tagalog,"SchachterOtanes1972,Bloomfield1917",tgl_SPA1979_phon.pdf,,37,
284,Steven Moran,nucl1301,Turkish,"Swift1963,Lees1961,Underhill1976",tur_SPA1979_phon.pdf,,186,
285,Eitan Grossman,assa1263,Assamese,mahanta2012assamese,,,,
286,Konstantin Filatov,kwaz1243,Kwaza,vandervoort2004kwaza,,,,
287,Vasilisa Zhigulskaya,slov1269,Slovak,hanulikova2010slovak,,,,
289,NA,high1276,Highland Popoluca,dejong2009sierrapopoluca,,,,
290,NA,sout2672,Southeastern Pashayi,lamuwal2013southeastpashayi,,,,
