ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,family_id,parent_id,bookkeeping,level,status,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
asil1242,Asilulu,Papunesia,-3.67302,127.952,asil1242,asl,aust1307,west2843,False,language,vulnerable,,,0,0,3,ID
assa1263,Assamese,Eurasia,26.0876,91.2932,assa1263,asm,indo1319,assa1262,False,language,safe,,,0,0,4,BD BT IN
assy1241,Assyrian Neo-Aramaic,Eurasia,36.75,43.0,assy1241,aii,afro1255,nort3241,False,language,vulnerable,,,0,0,30,IQ IR SY TR
atay1247,Atayal,Papunesia,24.5209,121.388,atay1247,tay,aust1307,atay1246,False,language,vulnerable,,,0,0,2,TW
avar1256,Avar,Eurasia,41.7047,46.558,avar1256,ava,nakh1245,avar1255,False,language,vulnerable,,,0,0,14,AZ GE RU TR
awac1239,Awa-Cuaiquer,South America,1.21652,-78.3401,awac1239,kwi,barb1265,unun9945,False,language,vulnerable,,,0,0,0,CO EC
awar1248,Awara,Papunesia,-6.16986,146.372,awar1248,awx,nucl1709,want1253,False,language,safe,,,0,0,0,PG
awiy1238,Awiyaana,Papunesia,-6.54079,145.76,awiy1238,auy,nucl1709,auya1234,False,language,safe,,,0,0,0,PG
awng1244,Awngi,Africa,10.9819,36.6916,awng1244,awn,afro1255,cent2193,False,language,safe,,,0,0,0,ET
badi1246,Badimaya,Australia,-29.0647,117.246,badi1246,bia,pama1250,kart1250,False,language,extinct,,,0,0,0,AU
bafu1246,Bafut,Africa,6.14153,10.1194,bafu1246,bfd,atla1278,bafu1247,False,language,safe,,,0,0,2,CM
baga1272,Baga Sitemu,Africa,10.4793,-14.4756,baga1272,bsp,atla1278,temn1245,False,language,definitely endangered,,,0,0,1,GN
bagi1246,Bagirmi,Africa,11.52392,14.769495,bagi1246,bmi,cent2225,bagi1248,False,language,safe,,,0,0,4,NG TD
baik1238,Baikeno,Papunesia,-9.32991,124.256,baik1238,bkx,aust1307,uabm1238,False,language,vulnerable,,,0,0,3,ID TL
bala1315,Balantak,Papunesia,-0.86809,123.289,bala1315,blz,aust1307,east2491,False,language,safe,,,0,0,0,ID
balu1257,Paluai,Papunesia,-2.5604,147.282,balu1257,blq,aust1307,loup1244,False,language,safe,,,0,0,2,PG
bamb1262,Bambassi,Africa,9.82554,34.6522,bamb1262,myf,maoo1243,maoo1243,False,language,definitely endangered,,,0,0,2,ET
bamb1269,Bambara,Africa,12.0401,-9.98949,bamb1269,bam,mand1469,east2425,False,language,safe,,,0,0,7,CI GN ML SN
bank1256,Bankon,Africa,4.3702,9.6403,bank1256,abb,atla1278,abob1234,False,language,vulnerable,,,0,0,0,CM
bare1276,Baré,South America,1.91649,-66.828,bare1276,bae,araw1281,alto1250,False,language,critically endangered,,,0,0,0,VE
bash1264,Bashkir,Eurasia,53.5967,56.5594,bash1264,bak,turk1311,nort2696,False,language,vulnerable,,,0,0,3,KZ RU UA
basq1248,Basque,Eurasia,43.2787,-1.31622,basq1248,eus,,,False,language,vulnerable,,,0,0,11,ES FR
bata1293,Batak Karo,Papunesia,2.12787,98.2517,bata1293,btx,aust1307,nort2831,False,language,vulnerable,,,0,0,1,ID
baur1253,Baure,South America,-13.1278,-64.1838,baur1253,brg,araw1281,baur1254,False,language,critically endangered,,,0,0,0,BO
beka1241,Riuk Bekati',Papunesia,1.3307,109.576,beka1241,bei,aust1307,baka1275,False,language,vulnerable,,,0,0,0,ID
bela1254,Belarusian,Eurasia,53.2307,25.6038,bela1254,bel,indo1319,east1426,False,language,vulnerable,,,0,0,3,BY LT LV PL RU UA
belh1239,Belhariya,Eurasia,26.9972,87.2783,belh1239,byw,sino1245,athp1240,False,language,severely endangered,,,0,0,0,NP
beng1280,Bengali,Eurasia,24.0,90.0,beng1280,ben,indo1319,gaud1238,False,language,safe,,,0,0,15,BD IN NP
berb1259,Berbice Creole Dutch,South America,5.3829,-58.0002,berb1259,brc,indo1319,dutc1257,False,language,extinct,,,0,0,0,GY
bett1235,Betta Kurumba,Eurasia,11.6385,76.6064,bett1235,xub,drav1251,kann1259,False,language,definitely endangered,,,0,0,0,IN
biak1248,Biak,Papunesia,-0.9523,135.879,biak1248,bhw,aust1307,biak1250,False,language,severely endangered,,,0,0,29,ID
bier1244,Bierebo,Papunesia,-16.6663,168.154,bier1244,bnk,aust1307,baki1243,False,language,definitely endangered,,,0,0,0,VU
birw1238,Birwa,Africa,-22.17,28.33,birw1238,brl,atla1278,nort3233,False,language,vulnerable,,,0,0,0,BW ZA ZW
bisl1239,Bislama,Papunesia,-15.4,166.89,bisl1239,bis,indo1319,earl1243,False,language,safe,,,0,0,0,NC VU
blag1240,Blagar,Papunesia,-8.31787,124.251,blag1240,beu,timo1261,blag1241,False,language,definitely endangered,,,0,0,4,ID
bobo1255,Bobongko,Papunesia,-0.36759,121.922,bobo1255,bgb,aust1307,salu1252,False,language,definitely endangered,,,0,0,0,ID
boht1238,Bohtan Neo-Aramaic,Eurasia,43.6405,44.482,boht1238,bhn,afro1255,boht1239,False,language,severely endangered,,,0,0,0,GE RU
bond1245,Bondo,Eurasia,19.1512,83.8141,bond1245,bfw,aust1305,guto1244,False,language,definitely endangered,,,0,0,2,IN
