ID,Name,Description
2C506EAD6B506B116E11D445B865A044,ɣʷ,LATIN SMALL LETTER GAMMA - MODIFIER LETTER SMALL W
64EABC4FDF5DE0BE02E889701FD34147,ʈ,LATIN SMALL LETTER T WITH RETROFLEX HOOK
A9AE43FC2BB2220AEC56494926170F9E,ɸʷ,LATIN SMALL LETTER PHI - MODIFIER LETTER SMALL W
0FD087805B29DDC87A7BC2D136B0A201,rː,LATIN SMALL LETTER R - MODIFIER LETTER TRIANGULAR COLON
89135AE8B291E91395AD52BAA7592587,pʷ,LATIN SMALL LETTER P - MODIFIER LETTER SMALL W
6C3F7787E19CBD1433EF2DB705910E67,pʷʰ,LATIN SMALL LETTER P - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H
6576638EF4391DBEAFB44F37A062CD2D,sʷ,LATIN SMALL LETTER S - MODIFIER LETTER SMALL W
5924DA42129CC1F197722FB8B62D1885,tsʲʰ,LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL J - MODIFIER LETTER SMALL H
A66006789C0D5D1A4E620C2E06A6DA03,tsʷ,LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL W
7923B7E1859F891FD08B68F016654DB7,tsʷʰ,LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H
D418E761F17614DCFCAE81181526DD99,ɖʐ,LATIN SMALL LETTER D WITH TAIL - LATIN SMALL LETTER Z WITH RETROFLEX HOOK
7145DA37441D46468137A8F0833E6787,ɲ̊,LATIN SMALL LETTER N WITH LEFT HOOK - COMBINING RING ABOVE
DC64DF688224E6FD840EEFC3767FDBE6,ŋ̊,LATIN SMALL LETTER ENG - COMBINING RING ABOVE
0C125CB557D530881A8F1E46A3EB6F0C,ʈʂ,LATIN SMALL LETTER T WITH RETROFLEX HOOK - LATIN SMALL LETTER S WITH HOOK
1221CD26FBA96262AA84D0449FF78413,ʈʂʰ,LATIN SMALL LETTER T WITH RETROFLEX HOOK - LATIN SMALL LETTER S WITH HOOK - MODIFIER LETTER SMALL H
3A357AE68F00D5DFDA9501F5ED36A6C3,dʲ,LATIN SMALL LETTER D - MODIFIER LETTER SMALL J
ED921AC9F6C2ABBAC1602F39891DADCF,əː,LATIN SMALL LETTER SCHWA - MODIFIER LETTER TRIANGULAR COLON
B72EA7A6AB24EDF883082F82EAC69ADE,ɲː,LATIN SMALL LETTER N WITH LEFT HOOK - MODIFIER LETTER TRIANGULAR COLON
A933E2A015DCF1AB1B946DBA04C1958C,ç,LATIN SMALL LETTER C WITH CEDILLA
825B20CB261AC2AAD034C4B8C3BC5DFC,sʼ,LATIN SMALL LETTER S - MODIFIER LETTER APOSTROPHE
E849BE91DF350F760A79E17668E93092,ɲɟ,LATIN SMALL LETTER N WITH LEFT HOOK - LATIN SMALL LETTER DOTLESS J WITH STROKE
77A6E615B559575F079FED0B9C0885EF,pʃʰ,LATIN SMALL LETTER P - LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL H
BD29F40254AA0996800A773122397C28,kʰ,LATIN SMALL LETTER K - MODIFIER LETTER SMALL H
72FB536ACFF408163656BBCDAFCAC6F6,a,LATIN SMALL LETTER A
3A3393BDCDC64FE0B39793147F9DBA7D,ɨ,LATIN SMALL LETTER I WITH STROKE
584E53EB5DC897FE333F996BB3854365,b̤,LATIN SMALL LETTER B - COMBINING DIAERESIS BELOW
F52FDCB8A1E6B74B993DE6E648C10637,d̤,LATIN SMALL LETTER D - COMBINING DIAERESIS BELOW
BA7B8BF8A92A7A8A5AC7AC7D08B424B6,d̠̤ʒ̤,LATIN SMALL LETTER D - COMBINING MINUS SIGN BELOW - COMBINING DIAERESIS BELOW - LATIN SMALL LETTER EZH - COMBINING DIAERESIS BELOW
D32D22D7FB8C895910556E91EE6B372A,ɖ̤,LATIN SMALL LETTER D WITH TAIL - COMBINING DIAERESIS BELOW
99BEFB40F8A6555031418CD050561EEE,ɡ̤,LATIN SMALL LETTER SCRIPT G - COMBINING DIAERESIS BELOW
512D7E3344FCD21B1EE47971D72DB39A,ɭ,LATIN SMALL LETTER L WITH RETROFLEX HOOK
9B4FF3CA9C2C2CC0884F937ECD88C04D,ʂ,LATIN SMALL LETTER S WITH HOOK
9C6117430968F42700ACD02E4E7442F7,t̠ʃʰ,LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL H
4364823B8F03525E91440277AEC22689,ʈʰ,LATIN SMALL LETTER T WITH RETROFLEX HOOK - MODIFIER LETTER SMALL H
E12BC6D5BBF9272E866810A376DEEF52,ɛː,LATIN SMALL LETTER OPEN E - MODIFIER LETTER TRIANGULAR COLON
A5176F73648084056F9A091440AB3FBB,ʝ,LATIN SMALL LETTER J WITH CROSSED-TAIL
11BA86428BB2A632682677515F0DED9A,ʃː,LATIN SMALL LETTER ESH - MODIFIER LETTER TRIANGULAR COLON
359D8C5FEAA18466059F2427790039DC,dzʲ,LATIN SMALL LETTER D - LATIN SMALL LETTER Z - MODIFIER LETTER SMALL J
CCF0350A2EFEF792529909972278B165,o̞,LATIN SMALL LETTER O - COMBINING DOWN TACK BELOW
